# site=Albenga, Liguria, IT
# latitude=44.05
# longitude=8.21
# elevation_m=9.0
# source=Open-Meteo historical weather API (ERA5 / ERA5-Land reanalysis), CC BY 4.0
# utc_offset_h=1.0
# start_local=2023-01-01T00:00
# fetched=2026-09-20T11:36+00:00
# unit:shortwave_radiation=W/m²
# kind:shortwave_radiation=preceding_mean
# unit:soil_moisture_0_to_7cm=m³/m³
# kind:soil_moisture_0_to_7cm=instant
# unit:temperature_2m=°C
# kind:temperature_2m=instant
# unit:relative_humidity_2m=%
# kind:relative_humidity_2m=instant
# unit:precipitation=mm
# kind:precipitation=preceding_mean
time,shortwave_radiation,soil_moisture_0_to_7cm,temperature_2m,relative_humidity_2m,precipitation
2023-08-19T03:00,0,0.132,22.5,77,0
2023-08-19T04:00,0,0.132,22.1,78,0
2023-08-19T05:00,0,0.132,22,77,0
2023-08-19T06:00,4,0.132,22.1,74,0
2023-08-19T07:00,84,0.132,25.2,65,0
2023-08-19T08:00,229,0.132,30.2,51,0
2023-08-19T09:00,424,0.132,32.1,42,0
2023-08-19T10:00,593,0.132,32.6,47,0
2023-08-19T11:00,717,0.132,32.8,50,0
2023-08-19T12:00,796,0.131,33.2,46,0
2023-08-19T13:00,822,0.131,33.5,42,0
2023-08-19T14:00,784,0.13,34.3,38,0
2023-08-19T15:00,637,0.13,33.6,39,0
2023-08-19T16:00,533,0.13,33.2,39,0
2023-08-19T17:00,394,0.13,32.8,39,0
2023-08-19T18:00,239,0.13,32.1,41,0
2023-08-19T19:00,90,0.13,31,46,0
2023-08-19T20:00,4,0.13,29.5,51,0
2023-08-19T21:00,0,0.13,28.7,53,0
2023-08-19T22:00,0,0.13,27.5,57,0
2023-08-19T23:00,0,0.13,26.6,62,0
2023-08-20T00:00,0,0.13,26.1,63,0
2023-08-20T01:00,0,0.13,24.6,67,0
2023-08-20T02:00,0,0.13,24.7,66,0
2023-08-20T03:00,0,0.13,24.4,67,0
2023-08-20T04:00,0,0.13,24.1,68,0
2023-08-20T05:00,0,0.13,23.8,69,0
2023-08-20T06:00,3,0.13,23.9,69,0
2023-08-20T07:00,88,0.13,27.1,61,0
2023-08-20T08:00,249,0.13,31,50,0
2023-08-20T09:00,424,0.13,32.9,45,0
2023-08-20T10:00,582,0.13,34.2,42,0
2023-08-20T11:00,706,0.13,35.2,39,0
2023-08-20T12:00,786,0.13,35.5,40,0
2023-08-20T13:00,812,0.127,34.9,45,0
2023-08-20T14:00,784,0.127,35.2,44,0
2023-08-20T15:00,607,0.127,35.5,41,0
2023-08-20T16:00,570,0.127,35.5,40,0
2023-08-20T17:00,419,0.127,35.3,39,0
2023-08-20T18:00,248,0.127,35.2,40,0
2023-08-20T19:00,86,0.127,33.9,48,0
2023-08-20T20:00,4,0.127,31.8,50,0
2023-08-20T21:00,0,0.127,30.2,52,0
2023-08-20T22:00,0,0.127,28.3,57,0
2023-08-20T23:00,0,0.127,27.6,60,0
2023-08-21T00:00,0,0.127,27.2,62,0
2023-08-21T01:00,0,0.129,27.9,57,0
2023-08-21T02:00,0,0.129,28.4,54,0
2023-08-21T03:00,0,0.129,28.2,54,0
2023-08-21T04:00,0,0.129,27.5,55,0
2023-08-21T05:00,0,0.129,27,55,0
2023-08-21T06:00,3,0.129,26.9,56,0
2023-08-21T07:00,84,0.129,29,52,0
2023-08-21T08:00,247,0.129,32.3,45,0
2023-08-21T09:00,422,0.129,34.3,38,0
2023-08-21T10:00,582,0.128,35.5,32,0
2023-08-21T11:00,710,0.128,36.4,29,0
2023-08-21T12:00,791,0.128,37,27,0
2023-08-21T13:00,818,0.128,37.8,26,0
2023-08-21T14:00,788,0.128,37.7,28,0
2023-08-21T15:00,710,0.128,35.6,36,0
2023-08-21T16:00,586,0.127,35.5,29,0
2023-08-21T17:00,427,0.127,35.6,26,0
2023-08-21T18:00,251,0.127,34.9,28,0
2023-08-21T19:00,87,0.127,33.6,32,0
2023-08-21T20:00,3,0.127,31.6,36,0
2023-08-21T21:00,0,0.127,29.4,44,0
2023-08-21T22:00,0,0.127,28.1,53,0
2023-08-21T23:00,0,0.127,27.5,55,0
2023-08-22T00:00,0,0.127,27.2,55,0
2023-08-22T01:00,0,0.127,26.7,51,0
2023-08-22T02:00,0,0.127,26.4,53,0
2023-08-22T03:00,0,0.127,25.8,56,0
2023-08-22T04:00,0,0.127,25.5,56,0
2023-08-22T05:00,0,0.127,25.6,55,0
2023-08-22T06:00,3,0.127,26.1,53,0
